Name,Nationality,Overall,Wage €'s,Wage $'s, Annualized Salary Wage €'s ,Annualized Salary Wage S's,Age,Potential
P. Pogba,France,87,210, 241 ," 10,920,000 ","12,551,724",25,91
K. Navas,Costa Rica,87,195, 224 ," 10,140,000 ","11,655,172",31,87
R. Lukaku,Belgium,87,230, 264 ," 11,960,000 ","13,747,126",25,89
C. Immobile,Italy,87,115, 132 ," 5,980,000 ","6,873,563",28,87
Jordi Alba,Spain,87,250, 287 ," 13,000,000 ","14,942,529",29,87
D. Mertens,Belgium,87,135, 155 ," 7,020,000 ","8,068,966",31,87
J. Vertonghen,Belgium,87,155, 178 ," 8,060,000 ","9,264,368",31,87
M. Hamšík,Slovakia,87,125, 144 ," 6,500,000 ","7,471,264",30,87
I. Rakitić,Croatia,87,260, 299 ," 13,520,000 ","15,540,230",30,87
Piqué,Spain,87,240, 276 ," 12,480,000 ","14,344,828",31,87
L. Sané,Germany,86,195, 224 ," 10,140,000 ","11,655,172",22,92
Bernardo Silva,Portugal,86,180, 207 ," 9,360,000 ","10,758,621",23,91
Ederson,Brazil,86,125, 144 ," 6,500,000 ","7,471,264",24,90
S. Mané,Senegal,86,195, 224 ," 10,140,000 ","11,655,172",26,87
V. van Dijk,Netherlands,86,165, 190 ," 8,580,000 ","9,862,069",26,88
R. Sterling,England,86,195, 224 ," 10,140,000 ","11,655,172",23,89
Roberto Firmino,Brazil,86,195, 224 ," 10,140,000 ","11,655,172",26,87
R. Varane,France,86,210, 241 ," 10,920,000 ","12,551,724",25,91
M. Verratti,Italy,86,135, 155 ," 7,020,000 ","8,068,966",25,89
Alex Sandro,Brazil,86,160, 184 ," 8,320,000 ","9,563,218",27,86
Douglas Costa,Brazil,86,175, 201 ," 9,100,000 ","10,459,770",27,86
T. Müller,Germany,86,135, 155 ," 7,020,000 ","8,068,966",28,86
Thiago,Spain,86,130, 149 ," 6,760,000 ","7,770,115",27,86
M. Reus,Germany,86,100, 115 ," 5,200,000 ","5,977,011",29,86
Azpilicueta,Spain,86,175, 201 ," 9,100,000 ","10,459,770",28,86
L. Bonucci,Italy,86,160, 184 ," 8,320,000 ","9,563,218",31,86
T. Alderweireld,Belgium,86,150, 172 ," 7,800,000 ","8,965,517",29,87
M. Pjanić,Bosnia Herzegovina,86,180, 207 ," 9,360,000 ","10,758,621",28,86
M. Benatia,Morocco,86,160, 184 ," 8,320,000 ","9,563,218",31,86
M. Özil,Germany,86,190, 218 ," 9,880,000 ","11,356,322",29,86
Fernandinho,Brazil,86,185, 213 ," 9,620,000 ","11,057,471",33,86
Iniesta,Spain,86,21, 24 ," 1,092,000 ","1,255,172",34,86
M. Škriniar,Slovakia,85,82, 94 ," 4,264,000 ","4,901,149",23,92
S. Milinković-Savić,Serbia,85,73, 84 ," 3,796,000 ","4,363,218",23,90
Marco Asensio,Spain,85,215, 247 ," 11,180,000 ","12,850,575",22,92
N. Fekir,France,85,92, 106 ," 4,784,000 ","5,498,851",24,89
Alisson,Brazil,85,115, 132 ," 5,980,000 ","6,873,563",25,90
J. Kimmich,Germany,85,92, 106 ," 4,784,000 ","5,498,851",23,88
Saúl,Spain,85,77, 89 ," 4,004,000 ","4,602,299",23,90
R. Mahrez,Algeria,85,205, 236 ," 10,660,000 ","12,252,874",27,85
D. Alaba,Austria,85,110, 126 ," 5,720,000 ","6,574,713",26,87
Koke,Spain,85,88, 101 ," 4,576,000 ","5,259,770",26,86
A. Lacazette,France,85,180, 207 ," 9,360,000 ","10,758,621",27,86
K. Manolas,Greece,85,96, 110 ," 4,992,000 ","5,737,931",27,87
N. Otamendi,Argentina,85,170, 195 ," 8,840,000 ","10,160,920",30,85
Parejo,Spain,85,66, 76 ," 3,432,000 ","3,944,828",29,85
Paulinho,Brazil,85,235, 270 ," 12,220,000 ","14,045,977",29,85
W. Szczęsny,Poland,85,125, 144 ," 6,500,000 ","7,471,264",28,87
A. Sánchez,Chile,85,215, 247 ," 11,180,000 ","12,850,575",29,85
Y. Brahimi,Algeria,85,28, 32 ," 1,456,000 ","1,673,563",28,85
J. Boateng,Germany,85,115, 132 ," 5,980,000 ","6,873,563",29,85
A. Vidal,Chile,85,205, 236 ," 10,660,000 ","12,252,874",31,85
I. Perišić,Croatia,85,110, 126 ," 5,720,000 ","6,574,713",29,85
E. Džeko,Bosnia Herzegovina,85,115, 132 ," 5,980,000 ","6,873,563",32,85
S. Khedira,Germany,85,160, 184 ," 8,320,000 ","9,563,218",31,85
Diego Costa,Spain,85,100, 115 ," 5,200,000 ","5,977,011",29,85
R. Nainggolan,Belgium,85,105, 121 ," 5,460,000 ","6,275,862",30,85
Naldo,Brazil,85,38, 44 ," 1,976,000 ","2,271,264",35,85
B. Matuidi,France,85,145, 167 ," 7,540,000 ","8,666,667",31,85
Miranda,Brazil,85,96, 110 ," 4,992,000 ","5,737,931",33,85
K. Benzema,France,85,240, 276 ," 12,480,000 ","14,344,828",30,85
Filipe Luís,Brazil,85,81, 93 ," 4,212,000 ","4,841,379",32,85
V. Kompany,Belgium,85,170, 195 ," 8,840,000 ","10,160,920",32,85
Pepe,Portugal,85,57, 66 ," 2,964,000 ","3,406,897",35,85
Z. Ibrahimović,Sweden,85,15, 17 ," 780,000 ","896,552",36,85
D. Sánchez,Colombia,84,105, 121 ," 5,460,000 ","6,275,862",22,88
J. Giménez,Uruguay,84,63, 72 ," 3,276,000 ","3,765,517",23,88
Alex Telles,Brazil,84,22, 25 ," 1,144,000 ","1,314,943",25,87
A. Laporte,France,84,135, 155 ," 7,020,000 ","8,068,966",24,88
Bruno Fernandes,Portugal,84,22, 25 ," 1,144,000 ","1,314,943",23,88
N. Süle,Germany,84,84, 97 ," 4,368,000 ","5,020,690",22,90
A. Martial,France,84,165, 190 ," 8,580,000 ","9,862,069",22,90
D. Alli,England,84,115, 132 ," 5,980,000 ","6,873,563",22,90
Fabinho,Brazil,84,120, 138 ," 6,240,000 ","7,172,414",24,88
Marquinhos,Brazil,84,90, 103 ," 4,680,000 ","5,379,310",24,89
William Carvalho,Portugal,84,38, 44 ," 1,976,000 ","2,271,264",26,86
Jorginho,Italy,84,155, 178 ," 8,060,000 ","9,264,368",26,87
F. Thauvin,France,84,72, 83 ," 3,744,000 ","4,303,448",25,87
Carvajal,Spain,84,185, 213 ," 9,620,000 ","11,057,471",26,87
M. Depay,Netherlands,84,93, 107 ," 4,836,000 ","5,558,621",24,89
H. Son,Korea Republic,84,125, 144 ," 6,500,000 ","7,471,264",25,85
A. Lopes,Portugal,84,72, 83 ," 3,744,000 ","4,303,448",27,86
S. de Vrij,Netherlands,84,88, 101 ," 4,576,000 ","5,259,770",26,86
M. Perin,Italy,84,105, 121 ," 5,460,000 ","6,275,862",25,89
J. Cuadrado,Colombia,84,150, 172 ," 7,800,000 ","8,965,517",30,84
Iago Aspas,Spain,84,45, 52 ," 2,340,000 ","2,689,655",30,84
B. Leno,Germany,84,115, 132 ," 5,980,000 ","6,873,563",26,87
N. Matić,Serbia,84,165, 190 ," 8,580,000 ","9,862,069",29,84
L. Hrádecký,Finland,84,74, 85 ," 3,848,000 ","4,422,989",28,84
Illarramendi,Spain,84,51, 59 ," 2,652,000 ","3,048,276",28,84
K. Walker,England,84,165, 190 ," 8,580,000 ","9,862,069",28,84
I. Gündoğan,Germany,84,175, 201 ," 9,100,000 ","10,459,770",27,84
José Callejón,Spain,84,105, 121 ," 5,460,000 ","6,275,862",31,84
A. Di María,Argentina,84,125, 144 ," 6,500,000 ","7,471,264",30,84
M. Mandžukić,Croatia,84,160, 184 ," 8,320,000 ","9,563,218",32,84
Willian,Brazil,84,175, 201 ," 9,100,000 ","10,459,770",29,84
Sergio Asenjo,Spain,84,42, 48 ," 2,184,000 ","2,510,345",29,85
E. Banega,Argentina,84,31, 36 ," 1,612,000 ","1,852,874",30,84
A. Witsel,Belgium,84,77, 89 ," 4,004,000 ","4,602,299",29,84
D. Payet,France,84,75, 86 ," 3,900,000 ","4,482,759",31,84
Jonas,Brazil,84,25, 29 ," 1,300,000 ","1,494,253",34,84
Sokratis,Greece,84,140, 161 ," 7,280,000 ","8,367,816",30,84
S. Ruffier,France,84,41, 47 ," 2,132,000 ","2,450,575",31,84
Falcao,Colombia,84,115, 132 ," 5,980,000 ","6,873,563",32,84
K. Schmeichel,Denmark,84,78, 90 ," 4,056,000 ","4,662,069",31,84
Raúl Albiol,Spain,84,88, 101 ," 4,576,000 ","5,259,770",32,84
A. Gómez,Argentina,84,53, 61 ," 2,756,000 ","3,167,816",30,84
A. Barzagli,Italy,84,95, 109 ," 4,940,000 ","5,678,161",37,84
Quaresma,Portugal,84,80, 92 ," 4,160,000 ","4,781,609",34,84
A. Robben,Netherlands,84,110, 126 ," 5,720,000 ","6,574,713",34,84
O. Dembélé,France,83,155, 178 ," 8,060,000 ","9,264,368",21,92
Gabriel Jesus,Brazil,83,130, 149 ," 6,760,000 ","7,770,115",21,92
Ronaldo Cabrais,Brazil,83,51, 59 ," 2,652,000 ","3,048,276",26,83
Josué Chiamulera,Brazil,83,43, 49 ," 2,236,000 ","2,570,115",26,83
Louri Beretta,Brazil,83,60, 69 ," 3,120,000 ","3,586,207",26,83
P. Kimpembe,France,83,82, 94 ," 4,264,000 ","4,901,149",22,89
N. Keïta,Guinea,83,120, 138 ," 6,240,000 ","7,172,414",23,88
C. Tolisso,France,83,85, 98 ," 4,420,000 ","5,080,460",23,88
T. Lemar,France,83,64, 74 ," 3,328,000 ","3,825,287",22,89
K. Coman,France,83,85, 98 ," 4,420,000 ","5,080,460",22,87
J. Tah,Germany,83,67, 77 ," 3,484,000 ","4,004,598",22,88
Anderson Talisca,Brazil,83,18, 21 ," 936,000 ","1,075,862",24,90
T. Werner,Germany,83,70, 80 ," 3,640,000 ","4,183,908",22,87
A. Rabiot,France,83,91, 105 ," 4,732,000 ","5,439,080",23,87
L. Goretzka,Germany,83,85, 98 ," 4,420,000 ","5,080,460",23,88
Q. Promes,Netherlands,83,28, 32 ," 1,456,000 ","1,673,563",26,84
H. Ziyech,Morocco,83,28, 32 ," 1,456,000 ","1,673,563",25,86
Lucas Vázquez,Spain,83,205, 236 ," 10,660,000 ","12,252,874",27,83
Y. Carrasco,Belgium,83,20, 23 ," 1,040,000 ","1,195,402",24,86
Gerard Moreno,Spain,83,53, 61 ," 2,756,000 ","3,167,816",26,85
Felipe,Brazil,83,22, 25 ," 1,144,000 ","1,314,943",29,83
M. Kovačić,Croatia,83,165, 190 ," 8,580,000 ","9,862,069",24,89
Kepa,Spain,83,84, 97 ," 4,368,000 ","5,020,690",23,91
Manu Trigueros,Spain,83,49, 56 ," 2,548,000 ","2,928,736",26,84
S. Gnabry,Germany,83,85, 98 ," 4,420,000 ","5,080,460",22,88
J. Pickford,England,83,78, 90 ," 4,056,000 ","4,662,069",24,88
S. Savić,Montenegro,83,67, 77 ," 3,484,000 ","4,004,598",27,86
J. Stones,England,83,125, 144 ," 6,500,000 ","7,471,264",24,87
Suso,Spain,83,115, 132 ," 5,980,000 ","6,873,563",24,86
J. Draxler,Germany,83,91, 105 ," 4,732,000 ","5,439,080",24,86
Felipe Anderson,Brazil,83,110, 126 ," 5,720,000 ","6,574,713",25,85
Lucas Moura,Brazil,83,115, 132 ," 5,980,000 ","6,873,563",25,84
Danilo Pereira,Portugal,83,21, 24 ," 1,092,000 ","1,255,172",26,86
Nacho Fernández,Spain,83,180, 207 ," 9,360,000 ","10,758,621",28,85
T. Horn,Germany,83,25, 29 ," 1,300,000 ","1,494,253",25,87
Allan,Brazil,83,87, 100 ," 4,524,000 ","5,200,000",27,83
F. Acerbi,Italy,83,64, 74 ," 3,328,000 ","3,825,287",30,83
Sergi Roberto,Spain,83,170, 195 ," 8,840,000 ","10,160,920",26,86
Rodrigo,Spain,83,57, 66 ," 2,964,000 ","3,406,897",27,84
Pizzi,Portugal,83,22, 25 ," 1,144,000 ","1,314,943",28,83
K. Kampl,Slovenia,83,74, 85 ," 3,848,000 ","4,422,989",27,83
Neto,Brazil,83,41, 47 ," 2,132,000 ","2,450,575",28,84
O. Baumann,Germany,83,42, 48 ," 2,184,000 ","2,510,345",28,84
I. Gueye,Senegal,83,125, 144 ," 6,500,000 ","7,471,264",28,83
H. Mkhitaryan,Armenia,83,145, 167 ," 7,540,000 ","8,666,667",29,83
Marcos Alonso,Spain,83,130, 149 ," 6,760,000 ","7,770,115",27,84
D. Subašić,Croatia,83,70, 80 ," 3,640,000 ","4,183,908",33,83
K. Glik,Poland,83,86, 99 ," 4,472,000 ","5,140,230",30,83
K. Strootman,Netherlands,83,66, 76 ," 3,432,000 ","3,944,828",28,83
B. Dost,Netherlands,83,26, 30 ," 1,352,000 ","1,554,023",29,83
Oscar,Brazil,83,29, 33 ," 1,508,000 ","1,733,333",26,84
M. Balotelli,Italy,83,55, 63 ," 2,860,000 ","3,287,356",27,83
Luiz Gustavo,Brazil,83,63, 72 ," 3,276,000 ","3,765,517",30,83
Giuliano,Brazil,83,64, 74 ," 3,328,000 ","3,825,287",28,83
David Luiz,Brazil,83,130, 149 ," 6,760,000 ","7,770,115",31,83
R. Fährmann,Germany,83,38, 44 ," 1,976,000 ","2,271,264",29,84
Juan Mata,Spain,83,160, 184 ," 8,320,000 ","9,563,218",30,83
Adán,Spain,83,55, 63 ," 2,860,000 ","3,287,356",31,83
Rui Patrício,Portugal,83,74, 85 ," 3,848,000 ","4,422,989",30,83
Y. Sommer,Switzerland,83,35, 40 ," 1,820,000 ","2,091,954",29,84
Javi Martínez,Spain,83,94, 108 ," 4,888,000 ","5,618,391",29,83
L. Bender,Germany,83,82, 94 ," 4,264,000 ","4,901,149",29,83
Lucas Leiva,Brazil,83,64, 74 ," 3,328,000 ","3,825,287",31,83
S. Mandanda,France,83,51, 59 ," 2,652,000 ","3,048,276",33,83
Cesc Fàbregas,Spain,83,140, 161 ," 7,280,000 ","8,367,816",31,83
M. Dembélé,Belgium,83,120, 138 ," 6,240,000 ","7,172,414",30,83
F. Ribéry,France,83,72, 83 ," 3,744,000 ","4,303,448",35,83
R. Jarstein,Norway,83,33, 38 ," 1,716,000 ","1,972,414",33,83
D. De Rossi,Italy,83,80, 92 ," 4,160,000 ","4,781,609",34,83
Pepe Reina,Spain,83,56, 64 ," 2,912,000 ","3,347,126",35,83
J. Pavlenka,Czech Republic,82,30, 34 ," 1,560,000 ","1,793,103",26,85
M. de Ligt,Netherlands,82,11, 13 ," 572,000 ","657,471",18,91
Rodri,Spain,82,59, 68 ," 3,068,000 ","3,526,437",22,87
Arthur,Brazil,82,125, 144 ," 6,500,000 ","7,471,264",21,90
G. Donnarumma,Italy,82,23, 26 ," 1,196,000 ","1,374,713",19,93
Rosberto Dourado,Brazil,82,46, 53 ," 2,392,000 ","2,749,425",30,82
Juiano Mestres,Brazil,82,39, 45 ," 2,028,000 ","2,331,034",34,82
Raphaelito Anjos,Brazil,82,32, 37 ," 1,664,000 ","1,912,644",30,82
Gelson Martins,Portugal,82,59, 68 ," 3,068,000 ","3,526,437",23,87
Gonçalo Guedes,Portugal,82,36, 41 ," 1,872,000 ","2,151,724",21,86
L. Torreira,Uruguay,82,98, 113 ," 5,096,000 ","5,857,471",22,87
Malcom,Brazil,82,140, 161 ," 7,280,000 ","8,367,816",21,89
Pau López,Spain,82,21, 24 ," 1,092,000 ","1,255,172",23,87
L. Hernández,France,82,53, 61 ," 2,756,000 ","3,167,816",22,88
C. Lenglet,France,82,135, 155 ," 7,020,000 ","8,068,966",23,88
A. Kramarić,Croatia,82,54, 62 ," 2,808,000 ","3,227,586",27,83
A. Robertson,Scotland,82,98, 113 ," 5,096,000 ","5,857,471",24,87
Dani García,Spain,82,33, 38 ," 1,716,000 ","1,972,414",28,83
F. Bernardeschi,Italy,82,110, 126 ," 5,720,000 ","6,574,713",24,87
J. Brandt,Germany,82,68, 78 ," 3,536,000 ","4,064,368",22,88
D. Rugani,Italy,82,95, 109 ," 4,940,000 ","5,678,161",23,86
Samu Castillejo,Spain,82,94, 108 ," 4,888,000 ","5,618,391",23,86
João Cancelo,Portugal,82,95, 109 ," 4,940,000 ","5,678,161",24,88
A. Romagnoli,Italy,82,84, 97 ," 4,368,000 ","5,020,690",23,89
T. Partey,Ghana,82,59, 68 ," 3,068,000 ","3,526,437",25,88
Fred,Brazil,82,140, 161 ," 7,280,000 ","8,367,816",25,84
J. Vardy,England,82,96, 110 ," 4,992,000 ","5,737,931",31,82
A. Belotti,Italy,82,58, 67 ," 3,016,000 ","3,466,667",24,87
E. Forsberg,Sweden,82,67, 77 ," 3,484,000 ","4,004,598",26,83
J. Lingard,England,82,140, 161 ," 7,280,000 ","8,367,816",25,83
F. Vázquez,Argentina,82,27, 31 ," 1,404,000 ","1,613,793",29,82
E. Višća,Bosnia Herzegovina,82,40, 46 ," 2,080,000 ","2,390,805",28,82
A. Rüdiger,Germany,82,110, 126 ," 5,720,000 ","6,574,713",25,84
A. Florenzi,Italy,82,73, 84 ," 3,796,000 ","4,363,218",27,83
H. Maguire,England,82,77, 89 ," 4,004,000 ","4,602,299",25,85
T. Meunier,Belgium,82,87, 100 ," 4,524,000 ","5,200,000",26,83
S. Sané,Senegal,82,41, 47 ," 2,132,000 ","2,450,575",27,82
G. Kondogbia,Central African Rep.,82,46, 53 ," 2,392,000 ","2,749,425",25,85
Rafinha,Brazil,82,165, 190 ," 8,580,000 ","9,862,069",25,87
Gabriel Paulista,Brazil,82,44, 51 ," 2,288,000 ","2,629,885",27,83
Morata,Spain,82,135, 155 ," 7,020,000 ","8,068,966",25,85
J. Cillessen,Netherlands,82,135, 155 ," 7,020,000 ","8,068,966",29,84
W. Ben Yedder,France,82,28, 32 ," 1,456,000 ","1,673,563",27,82
C. Bakambu,DR Congo,82,33, 38 ," 1,716,000 ","1,972,414",27,83
Pablo Sarabia,Spain,82,26, 30 ," 1,352,000 ","1,554,023",26,83
W. Zaha,Ivory Coast,82,78, 90 ," 4,056,000 ","4,662,069",25,85
Luis Alberto,Spain,82,67, 77 ," 3,484,000 ","4,004,598",25,85
Jonathan Viera,Spain,82,31, 36 ," 1,612,000 ","1,852,874",28,82
Bartra,Spain,82,32, 37 ," 1,664,000 ","1,912,644",27,83
S. Coates,Uruguay,82,19, 22 ," 988,000 ","1,135,632",27,83
Willian José,Brazil,82,44, 51 ," 2,288,000 ","2,629,885",26,83
Mário Fernandes,Russia,82,1, 1 ," 52,000 ","59,770",27,82
Víctor Ruiz,Spain,82,43, 49 ," 2,236,000 ","2,570,115",29,83
T. Delaney,Denmark,82,61, 70 ," 3,172,000 ","3,645,977",26,83
K. Casteels,Belgium,82,46, 53 ," 2,392,000 ","2,749,425",26,85
M. Götze,Germany,82,67, 77 ," 3,484,000 ","4,004,598",26,85
S. Mustafi,Germany,82,115, 132 ," 5,980,000 ","6,873,563",26,84
J. Pastore,Argentina,82,84, 97 ," 4,368,000 ","5,020,690",29,82
Pedro,Spain,82,140, 161 ," 7,280,000 ","8,367,816",30,82
G. Bonaventura,Italy,82,115, 132 ," 5,980,000 ","6,873,563",28,82
R. Bürki,Switzerland,82,50, 57 ," 2,600,000 ","2,988,506",27,85
Taison,Brazil,82,1, 1 ," 52,000 ","59,770",30,82
S. Nzonzi,France,82,77, 89 ," 4,004,000 ","4,602,299",29,82
Marlos,Ukraine,82,1, 1 ," 52,000 ","59,770",30,82
A. Ramsey,Wales,82,130, 149 ," 6,760,000 ","7,770,115",27,83
K. Trippier,England,82,99, 114 ," 5,148,000 ","5,917,241",27,82
A. Kolarov,Serbia,82,73, 84 ," 3,796,000 ","4,363,218",32,82
G. Sigurðsson,Iceland,82,125, 144 ," 6,500,000 ","7,471,264",28,82
S. Giovinco,Italy,82,15, 17 ," 780,000 ","896,552",31,82
M. Arnautović,Austria,82,120, 138 ," 6,240,000 ","7,172,414",29,82
N. Gaitán,Argentina,82,22, 25 ," 1,144,000 ","1,314,943",30,82
J. Henderson,England,82,125, 144 ," 6,500,000 ","7,471,264",28,82
M. Kruse,Germany,82,45, 52 ," 2,340,000 ","2,689,655",30,82
M. Parolo,Italy,82,59, 68 ," 3,068,000 ","3,526,437",33,82
L. Fejsa,Serbia,82,18, 21 ," 936,000 ","1,075,862",29,82
A. Rami,France,82,57, 66 ," 2,964,000 ","3,406,897",32,82
V. Ćorluka,Croatia,82,1, 1 ," 52,000 ","59,770",32,82
G. Wijnaldum,Netherlands,82,130, 149 ," 6,760,000 ","7,770,115",27,82
F. Fazio,Argentina,82,73, 84 ," 3,796,000 ","4,363,218",31,82
O. Giroud,France,82,140, 161 ," 7,280,000 ","8,367,816",31,82
Marcano,Spain,82,73, 84 ," 3,796,000 ","4,363,218",31,82
A. Guardado,Mexico,82,35, 40 ," 1,820,000 ","2,091,954",31,82
E. Garay,Argentina,82,44, 51 ," 2,288,000 ","2,629,885",31,82
Jardel,Brazil,82,17, 20 ," 884,000 ","1,016,092",32,82
S. Sirigu,Italy,82,45, 52 ," 2,340,000 ","2,689,655",31,82
E. Viviano,Italy,82,15, 17 ," 780,000 ","896,552",32,82
L. Koscielny,France,82,115, 132 ," 5,980,000 ","6,873,563",32,82
A. Consigli,Italy,82,52, 60 ," 2,704,000 ","3,108,046",31,82
L. Biglia,Argentina,82,98, 113 ," 5,096,000 ","5,857,471",32,82
Dani Alves,Brazil,82,62, 71 ," 3,224,000 ","3,705,747",35,82
David Villa,Spain,82,12, 14 ," 624,000 ","717,241",36,82
Aduriz,Spain,82,29, 33 ," 1,508,000 ","1,733,333",37,82
P. Čech,Czech Republic,82,60, 69 ," 3,120,000 ","3,586,207",36,82
Casillas,Spain,82,10, 11 ," 520,000 ","597,701",37,82
M. Rashford,England,81,110, 126 ," 5,720,000 ","6,574,713",20,89
Laure Santeiro,Brazil,81,40, 46 ," 2,080,000 ","2,390,805",30,81
L. Bailey,Jamaica,81,54, 62 ," 2,808,000 ","3,227,586",20,89
M. Akanji,Switzerland,81,49, 56 ," 2,548,000 ","2,928,736",22,87
F. de Jong,Netherlands,81,19, 22 ," 988,000 ","1,135,632",21,89
Nélson Semedo,Portugal,81,125, 144 ," 6,500,000 ","7,471,264",24,86
Pablo Fornals,Spain,81,36, 41 ," 1,872,000 ","2,151,724",22,86
Fabián,Spain,81,64, 74 ," 3,328,000 ","3,825,287",22,89
E. Bailly,Ivory Coast,81,105, 121 ," 5,460,000 ","6,275,862",24,87
Dani Ceballos,Spain,81,120, 138 ," 6,240,000 ","7,172,414",21,88
H. Lozano,Mexico,81,22, 25 ," 1,144,000 ","1,314,943",22,86
Morales,Spain,81,33, 38 ," 1,716,000 ","1,972,414",30,81
J. Seri,Ivory Coast,81,73, 84 ," 3,796,000 ","4,363,218",26,82
M. Politano,Italy,81,57, 66 ," 2,964,000 ","3,406,897",24,84
M. Brozović,Croatia,81,64, 74 ," 3,328,000 ","3,825,287",25,84
Williams,Spain,81,31, 36 ," 1,612,000 ","1,852,874",24,87
A. Correa,Argentina,81,54, 62 ," 2,808,000 ","3,227,586",23,87
A. Christensen,Denmark,81,91, 105 ," 4,732,000 ","5,439,080",22,88
João Mário,Portugal,81,71, 82 ," 3,692,000 ","4,243,678",25,84
T. Strakosha,Albania,81,36, 41 ," 1,872,000 ","2,151,724",23,86
E. Hysaj,Albania,81,58, 67 ," 3,016,000 ","3,466,667",24,86
P. Zieliński,Poland,81,64, 74 ," 3,328,000 ","3,825,287",24,88
Ricardo Pereira,Portugal,81,64, 74 ," 3,328,000 ","3,825,287",24,85
Grimaldo,Spain,81,14, 16 ," 728,000 ","836,782",22,87
R. Guerreiro,Portugal,81,54, 62 ," 2,808,000 ","3,227,586",24,86
A. Doucouré,France,81,60, 69 ," 3,120,000 ","3,586,207",25,85
J. Martínez,Venezuela,81,14, 16 ," 728,000 ","836,782",25,84
C. Bacca,Colombia,81,45, 52 ," 2,340,000 ","2,689,655",31,81
A. Plea,France,81,40, 46 ," 2,080,000 ","2,390,805",25,83
B. Davies,Wales,81,87, 100 ," 4,524,000 ","5,200,000",25,84
M. Nastasić,Serbia,81,36, 41 ," 1,872,000 ","2,151,724",25,84
